"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","17-Jul-2018","       1332.85","       1329.70","       1349.50","       1312.70","       1327.30","       1327.90","       1333.08","    5580845","          7439721781.85","     114793","    2701704","         48.41"
"INFY","EQ","18-Jul-2018","       1327.90","       1339.80","       1343.40","       1314.00","       1323.00","       1322.55","       1325.16","    3459508","          4584405276.50","     134074","    1682833","         48.64"
"INFY","EQ","19-Jul-2018","       1322.55","       1323.00","       1331.90","       1309.10","       1315.95","       1316.70","       1318.01","    2559432","          3373347800.70","     133339","    1483151","         57.95"
"INFY","EQ","20-Jul-2018","       1316.70","       1326.00","       1367.15","       1321.30","       1352.00","       1348.10","       1352.12","    5852869","          7913782036.85","     149871","    2819424","         48.17"
"INFY","EQ","23-Jul-2018","       1348.10","       1352.15","       1368.00","       1336.25","       1351.90","       1355.95","       1350.21","    3837851","          5181886478.25","     104002","    2443216","         63.66"
"INFY","EQ","24-Jul-2018","       1355.95","       1374.40","       1382.40","       1356.00","       1375.35","       1377.15","       1368.92","    3086123","          4224648378.80","     104916","    1877815","         60.85"
"INFY","EQ","25-Jul-2018","       1377.15","       1379.00","       1393.80","       1365.45","       1381.15","       1383.75","       1383.06","    3468461","          4797085713.95","     110230","    1922712","         55.43"
"INFY","EQ","26-Jul-2018","       1383.75","       1378.55","       1390.40","       1369.20","       1373.70","       1373.25","       1377.36","    3681109","          5070228477.20","     139712","    2424410","         65.86"
"INFY","EQ","27-Jul-2018","       1373.25","       1373.20","       1389.00","       1368.30","       1371.20","       1373.45","       1377.08","    3246616","          4470848815.00","     101649","    2173390","         66.94"
"INFY","EQ","30-Jul-2018","       1373.45","       1370.00","       1373.00","       1348.00","       1351.00","       1351.00","       1356.75","    3204985","          4348358645.00","     193055","    2451679","         76.50"
"INFY","EQ","31-Jul-2018","       1351.00","       1348.55","       1370.00","       1335.55","       1368.00","       1365.10","       1351.30","    3971998","          5367357704.50","     122270","    2765105","         69.61"
"INFY","EQ","01-Aug-2018","       1365.10","       1363.80","       1368.45","       1351.00","       1352.00","       1354.05","       1355.85","    2337853","          3169781272.90","     106719","    1654129","         70.75"
"INFY","EQ","02-Aug-2018","       1354.05","       1359.60","       1366.75","       1350.15","       1353.40","       1353.65","       1357.31","    2970371","          4031719296.70","      87744","    2138372","         71.99"
"INFY","EQ","03-Aug-2018","       1353.65","       1366.20","       1366.20","       1356.00","       1365.75","       1364.10","       1361.34","    1985195","          2702515816.15","      70696","    1384580","         69.75"
